09:57:35.635694989: Warning Shell history had been deleted or renamed (user=root user_loginuid=-1 type=openat command=bash fd.name=/root/.bash_history name=/root/.bash_history path=<NA> oldpath=<NA> suspicious_johnson (id=a3cce783e592))
09:57:37.777855548: Error File below / or /root opened for writing (user=root user_loginuid=-1 command=falco --pidfile=/var/run/falco.pid parent=systemd file=/events.txt program=falco container_id=host image=<NA>)
09:57:37.808351529: Error File below / or /root opened for writing (user=root user_loginuid=-1 command=falco --pidfile=/var/run/falco.pid parent=systemd file=/events.txt program=falco container_id=host image=<NA>)
09:57:37.839055477: Error File below / or /root opened for writing (user=root user_loginuid=-1 command=falco --pidfile=/var/run/falco.pid parent=systemd file=/events.txt program=falco container_id=host image=<NA>)
09:57:37.869603193: Error File below / or /root opened for writing (user=root user_loginuid=-1 command=falco --pidfile=/var/run/falco.pid parent=systemd file=/events.txt program=falco container_id=host image=<NA>)
09:57:37.900245594: Error File below / or /root opened for writing (user=root user_loginuid=-1 command=falco --pidfile=/var/run/falco.pid parent=systemd file=/events.txt program=falco container_id=host image=<NA>)
09:57:37.930785587: Error File below / or /root opened for writing (user=root user_loginuid=-1 command=falco --pidfile=/var/run/falco.pid parent=systemd file=/events.txt program=falco container_id=host image=<NA>)
09:57:37.961300181: Error File below / or /root opened for writing (user=root user_loginuid=-1 command=falco --pidfile=/var/run/falco.pid parent=systemd file=/events.txt program=falco container_id=host image=<NA>)
09:57:37.992430767: Error File below / or /root opened for writing (user=root user_loginuid=-1 command=falco --pidfile=/var/run/falco.pid parent=systemd file=/events.txt program=falco container_id=host image=<NA>)
09:57:38.022860412: Error File below / or /root opened for writing (user=root user_loginuid=-1 command=falco --pidfile=/var/run/falco.pid parent=systemd file=/events.txt program=falco container_id=host image=<NA>)
09:57:38.053623805: Error File below / or /root opened for writing (user=root user_loginuid=-1 command=falco --pidfile=/var/run/falco.pid parent=systemd file=/events.txt program=falco container_id=host image=<NA>)
09:57:38.084253661: Error File below / or /root opened for writing (user=root user_loginuid=-1 command=falco --pidfile=/var/run/falco.pid parent=systemd file=/events.txt program=falco container_id=host image=<NA>)
09:57:38.114671194: Error File below / or /root opened for writing (user=root user_loginuid=-1 command=falco --pidfile=/var/run/falco.pid parent=systemd file=/events.txt program=falco container_id=host image=<NA>)
09:57:38.145170861: Error File below / or /root opened for writing (user=root user_loginuid=-1 command=falco --pidfile=/var/run/falco.pid parent=systemd file=/events.txt program=falco container_id=host image=<NA>)
09:57:38.175552521: Error File below / or /root opened for writing (user=root user_loginuid=-1 command=falco --pidfile=/var/run/falco.pid parent=systemd file=/events.txt program=falco container_id=host image=<NA>)
09:57:38.206256028: Error File below / or /root opened for writing (user=root user_loginuid=-1 command=falco --pidfile=/var/run/falco.pid parent=systemd file=/events.txt program=falco container_id=host image=<NA>)
09:57:38.236633182: Error File below / or /root opened for writing (user=root user_loginuid=-1 command=falco --pidfile=/var/run/falco.pid parent=systemd file=/events.txt program=falco container_id=host image=<NA>)
09:57:38.267526472: Error File below / or /root opened for writing (user=root user_loginuid=-1 command=falco --pidfile=/var/run/falco.pid parent=systemd file=/events.txt program=falco container_id=host image=<NA>)
09:57:38.298389642: Error File below / or /root opened for writing (user=root user_loginuid=-1 command=falco --pidfile=/var/run/falco.pid parent=systemd file=/events.txt program=falco container_id=host image=<NA>)
09:57:38.328770079: Error File below / or /root opened for writing (user=root user_loginuid=-1 command=falco --pidfile=/var/run/falco.pid parent=systemd file=/events.txt program=falco container_id=host image=<NA>)
09:57:38.359438462: Error File below / or /root opened for writing (user=root user_loginuid=-1 command=falco --pidfile=/var/run/falco.pid parent=systemd file=/events.txt program=falco container_id=host image=<NA>)
09:57:38.390193827: Error File below / or /root opened for writing (user=root user_loginuid=-1 command=falco --pidfile=/var/run/falco.pid parent=systemd file=/events.txt program=falco container_id=host image=<NA>)
09:57:38.420633061: Error File below / or /root opened for writing (user=root user_loginuid=-1 command=falco --pidfile=/var/run/falco.pid parent=systemd file=/events.txt program=falco container_id=host image=<NA>)
09:57:38.451093805: Error File below / or /root opened for writing (user=root user_loginuid=-1 command=falco --pidfile=/var/run/falco.pid parent=systemd file=/events.txt program=falco container_id=host image=<NA>)
09:57:38.481831548: Error File below / or /root opened for writing (user=root user_loginuid=-1 command=falco --pidfile=/var/run/falco.pid parent=systemd file=/events.txt program=falco container_id=host image=<NA>)
